Record_ID,Year,Season,Crop,State,Farm_Size_Category,Area_Hectares,Soil_Type,Soil_pH,Seed_Variety,Irrigation_Method,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Water_Usage_mm,Water_Efficiency,Labor_Hours_per_ha,Yield_tonnes_per_ha,Production_tonnes,Market_Price_per_ton,Storage_Loss_pct,Revenue_INR,Cost_INR,Profit_INR,Disease_Incidence_pct,Pest_Incidence_pct
1,2023,Kharif,Mustard,Bihar,Medium,2.01,Sandy,6.97,High-Yield Variety,Drip,737.1,26.0,79.3,112.9,4.43,283.1,1.334,361.0,3.777,7.59,1770.6,10.49,12029.09,101114.44,-89085.35,42.4,41.3
2,2022,Zaid,Wheat,Chhattisgarh,Small,2.48,Sandy,6.96,High-Yield Variety,Drip,76.6,33.2,27.6,136.0,2.62,226.0,1.98,298.0,4.475,11.1,1915.1,10.98,18924.03,110150.11,-91226.08,25.3,20.0
3,2022,Rabi,Mustard,Odisha,Large,6.85,Clay,7.11,High-Yield Variety,Rainfed,185.7,23.8,54.5,115.0,2.76,167.9,1.544,342.0,2.594,17.77,2198.0,6.04,36698.09,296567.43,-259869.34,21.2,16.4
4,2023,Kharif,Barley,Odisha,Medium,1.79,Sandy,6.82,High-Yield Variety,Borewell,688.0,26.1,84.7,161.8,4.09,486.7,1.062,241.0,5.167,9.25,1819.7,7.79,15520.51,91374.09,-75853.58,34.4,25.5
5,2024,Rabi,Rice,West Bengal,Small,1.98,Clay,7.34,High-Yield Variety,Borewell,226.5,26.5,68.1,148.8,2.93,418.5,1.291,285.0,5.403,10.7,2223.1,2.98,23078.65,88857.19,-65778.54,19.1,15.4
6,2024,Zaid,Mustard,Bihar,Small,2.7,Alluvial,6.1,High-Yield Variety,Rainfed,122.1,35.5,44.3,110.1,4.86,161.8,1.162,341.0,1.88,5.08,1797.4,3.34,8825.81,118136.09,-109310.28,36.9,33.4
7,2022,Kharif,Mustard,West Bengal,Medium,2.11,Sandy,6.1,Traditional,Borewell,823.5,27.6,70.9,148.9,4.77,585.3,0.619,304.0,3.626,7.65,1717.1,7.54,12145.63,106804.91,-94659.28,49.9,40.8
8,2023,Kharif,Mustard,Bihar,Small,4.2,Black,5.94,High-Yield Variety,Canal,788.7,23.9,76.4,212.6,3.9,534.1,0.546,377.0,2.914,12.24,1866.4,6.82,21288.06,207253.87,-185965.81,35.1,38.2
9,2022,Zaid,Groundnut,Punjab,Medium,2.28,Alluvial,6.85,Traditional,Rainfed,62.9,30.3,57.4,112.3,2.87,113.6,1.904,251.0,2.164,4.93,1639.0,12.2,7094.7,96988.63,-89893.93,26.6,22.0
10,2024,Zaid,Rice,Uttar Pradesh,Small,2.29,Loamy,7.22,High-Yield Variety,Drip,125.1,34.9,35.0,147.6,4.08,180.2,2.527,170.0,4.555,10.43,1722.9,8.79,16391.19,92294.7,-75903.51,30.0,27.8
11,2021,Kharif,Maize,Bihar,Small,1.26,Clay,7.58,Traditional,Rainfed,754.0,29.8,76.3,163.1,4.79,283.2,1.91,342.0,5.41,6.82,1849.6,7.91,11616.75,70886.03,-59269.28,33.7,20.8
12,2024,Zaid,Groundnut,Bihar,Medium,2.88,Alluvial,6.7,High-Yield Variety,Canal,68.2,34.5,50.5,146.9,2.17,266.4,0.863,301.0,2.3,6.62,1627.6,4.24,10318.44,120444.6,-110126.16,19.8,20.6
13,2021,Rabi,Sugarcane,Odisha,Small,2.03,Loamy,6.88,High-Yield Variety,Borewell,191.1,22.8,55.0,123.4,2.79,315.0,9.655,359.0,30.411,61.73,2066.8,8.74,116431.12,93171.13,23259.99,25.9,20.9
14,2024,Kharif,Wheat,Jharkhand,Medium,4.74,Clay,6.71,High-Yield Variety,Canal,821.8,30.1,91.1,123.4,3.5,488.4,1.051,281.0,,24.32,1831.5,7.33,41277.38,233760.03,-192482.65,36.9,27.0
15,2024,Kharif,Wheat,Assam,Large,2.06,Loamy,6.03,Traditional,Borewell,778.4,28.6,84.8,159.6,4.84,593.5,0.953,382.0,5.656,11.65,1759.5,2.88,19908.46,105758.87,-85850.41,36.1,23.3
16,2023,Kharif,Wheat,Bihar,Small,1.35,Alluvial,6.39,Traditional,Borewell,743.2,27.8,71.6,117.7,5.52,605.7,0.894,233.0,,7.31,1807.2,7.78,12183.27,75437.44,-63254.17,40.7,36.2
17,2021,Kharif,Barley,Uttar Pradesh,Large,0.79,Alluvial,6.58,High-Yield Variety,Rainfed,774.8,30.5,71.1,119.5,6.37,289.8,1.108,346.0,3.211,2.54,1798.0,9.78,4120.02,49925.3,-45805.28,34.9,34.6
18,2023,Zaid,Sugarcane,Punjab,Medium,1.6,Alluvial,7.06,High-Yield Variety,Rainfed,90.2,33.0,37.3,116.7,2.7,137.5,13.867,229.0,19.065,30.5,1692.0,6.8,48095.04,61115.51,-13020.47,23.8,20.1
19,2024,Kharif,Wheat,Punjab,Medium,2.63,Clay,6.18,High-Yield Variety,Rainfed,811.1,28.7,78.5,108.6,3.67,273.5,1.631,279.0,4.46,11.73,1731.1,7.23,18836.73,122272.76,-103436.03,51.7,44.3
20,2021,Kharif,Wheat,Uttar Pradesh,Small,2.06,Black,6.8,Traditional,Borewell,813.0,28.0,77.5,158.2,4.25,634.7,0.759,318.0,4.818,9.92,2018.5,8.92,18238.15,108336.65,-90098.5,44.7,36.2
21,2024,Rabi,Barley,Punjab,Medium,1.81,Loamy,6.29,High-Yield Variety,Drip,259.3,19.6,52.7,135.1,1.55,239.4,1.909,293.0,4.569,8.27,2210.6,11.23,16228.76,85687.06,-69458.3,19.4,16.7
22,2022,Zaid,Mustard,Bihar,Small,1.62,Alluvial,,High-Yield Variety,Drip,100.8,34.1,39.9,80.2,3.17,183.8,1.309,267.0,2.406,3.9,1602.8,9.27,5671.46,68571.38,-62899.92,37.3,34.0
23,2023,Rabi,Rice,Bihar,Medium,2.31,Sandy,6.37,Traditional,Sprinkler,163.8,23.6,61.0,110.4,3.5,279.9,2.051,215.0,5.74,13.26,2018.9,6.72,24972.55,106114.31,-81141.76,27.4,22.0
24,2023,Zaid,Sugarcane,Uttar Pradesh,Medium,1.93,Sandy,5.85,Traditional,,5.0,36.9,41.6,141.9,1.15,231.9,10.54,316.0,24.443,47.18,1890.7,5.4,84382.46,86869.02,-2486.56,30.4,32.2
25,2023,Rabi,Maize,Uttar Pradesh,Medium,0.96,Loamy,5.77,Traditional,Borewell,228.4,17.6,51.1,134.1,2.63,360.8,1.428,269.0,5.154,4.95,2121.1,7.8,9680.76,46503.58,-36822.82,37.2,26.9
26,2023,Zaid,Rice,Jharkhand,Large,2.73,Clay,6.64,Traditional,Sprinkler,111.8,29.3,59.8,131.1,3.0,245.6,1.592,332.0,3.91,10.68,1599.3,6.43,15981.83,117481.94,-101500.11,28.2,24.4
27,2024,Zaid,Sugarcane,Jharkhand,Small,1.34,Sandy,6.24,High-Yield Variety,Canal,105.1,36.2,40.0,105.2,2.78,324.8,7.615,242.0,24.732,33.14,1769.5,0.88,58126.84,68583.48,-10456.64,20.6,17.1
28,2024,Zaid,Mustard,Jharkhand,Small,1.26,Loamy,5.57,Traditional,Drip,147.1,35.0,51.8,129.6,3.26,224.6,1.006,336.0,2.259,2.85,1688.4,6.05,4520.97,59387.23,-54866.26,37.8,41.3
29,2024,Rabi,Soybean,Bihar,Medium,1.76,Alluvial,6.68,Traditional,Drip,157.4,22.2,74.0,45.6,1.25,210.5,2.14,338.0,4.505,7.93,2079.5,8.9,15022.96,87229.59,-72206.63,24.6,19.7
30,2023,Kharif,Maize,Jharkhand,Small,2.28,Sandy,7.08,High-Yield Variety,Canal,661.0,28.8,94.5,145.8,3.14,495.9,1.329,182.0,6.588,15.02,1757.8,5.71,24892.76,115047.0,-90154.24,15.2,14.7
31,2024,Rabi,Soybean,Uttar Pradesh,Small,1.26,Loamy,6.83,High-Yield Variety,Borewell,208.0,18.7,65.5,94.3,2.5,405.0,0.912,273.0,3.693,4.65,1748.6,10.68,7262.98,63070.07,-55807.09,13.7,8.4
32,2023,Rabi,Rice,Chhattisgarh,Large,3.08,Clay,6.76,High-Yield Variety,Drip,181.8,19.1,66.8,120.5,3.6,208.1,3.066,274.0,6.379,19.65,2151.4,7.53,39089.21,140131.5,-101042.29,21.5,14.6
33,2023,Zaid,Rice,Uttar Pradesh,Small,2.85,Loamy,5.43,Traditional,Drip,51.1,33.3,49.6,110.2,1.99,134.0,3.118,326.0,4.179,11.91,1646.8,8.36,17972.89,115491.73,-97518.84,30.3,30.2
34,2022,Kharif,Wheat,West Bengal,Small,2.8,Loamy,7.2,High-Yield Variety,Borewell,632.8,25.2,82.8,91.3,3.73,533.2,0.948,391.0,5.056,14.16,2001.9,3.39,27384.84,140855.32,-113470.48,21.3,14.8
35,2022,Kharif,Mustard,Punjab,Small,3.13,Clay,6.4,Traditional,Borewell,828.0,29.3,77.4,128.1,5.18,586.4,0.41,187.0,2.402,7.52,1880.8,12.75,12339.93,154179.88,-141839.95,38.2,37.6
36,2021,Kharif,Barley,Punjab,Large,2.59,Clay,7.51,High-Yield Variety,Rainfed,894.8,30.8,73.9,118.1,2.17,335.4,1.219,417.0,4.089,10.59,,5.29,18227.01,125791.87,-107564.86,47.1,37.1
37,2022,Rabi,Mustard,Assam,Small,2.32,Alluvial,7.01,High-Yield Variety,Borewell,181.5,20.2,58.9,106.9,2.45,342.5,0.727,156.0,2.489,5.77,2194.8,9.39,11475.16,104705.89,-93230.73,28.9,20.6
38,2023,Rabi,Barley,Assam,Small,0.96,Alluvial,6.7,High-Yield Variety,Drip,179.2,27.2,59.5,107.3,2.43,210.4,2.457,400.0,5.17,4.96,1876.0,14.86,7922.39,53782.37,-45859.98,28.5,21.1
39,2022,Kharif,Groundnut,Odisha,Small,2.34,Loamy,7.17,Traditional,Canal,657.5,29.7,80.0,190.8,3.3,448.1,0.963,466.0,4.316,10.1,1703.1,11.85,15163.37,118713.07,-103549.7,52.2,55.5
40,2023,Rabi,Wheat,Jharkhand,Small,1.65,Sandy,6.86,Traditional,Rainfed,365.5,17.9,57.1,95.3,2.49,156.6,2.373,281.0,3.716,6.13,1820.4,7.59,10311.95,79525.69,-69213.74,21.8,23.5
41,2022,Zaid,Groundnut,West Bengal,Medium,1.84,Black,6.27,High-Yield Variety,Rainfed,91.6,34.6,42.5,181.2,2.63,107.5,2.316,218.0,2.49,4.58,1699.1,2.58,7581.23,83129.66,-75548.43,37.1,37.8
42,2022,Rabi,Wheat,Uttar Pradesh,Large,3.23,Clay,6.28,Traditional,Canal,153.7,19.2,65.4,150.9,2.26,330.2,1.313,239.0,4.337,14.01,2318.1,3.14,31457.87,138961.78,-107503.91,26.8,16.9
43,2022,Rabi,Soybean,Uttar Pradesh,Medium,1.5,Alluvial,7.28,High-Yield Variety,Canal,220.9,17.4,52.0,102.3,3.94,290.3,1.433,280.0,4.16,6.24,2182.7,8.37,12480.9,72493.83,-60012.93,7.9,7.7
44,2024,Kharif,Wheat,Jharkhand,Small,0.82,Loamy,5.39,High-Yield Variety,Rainfed,718.3,28.0,72.6,139.7,2.09,226.8,2.025,288.0,4.592,3.77,1960.7,9.83,6665.38,49937.29,-43271.91,37.1,36.4
45,2021,Kharif,Maize,Jharkhand,Small,4.41,Alluvial,6.03,High-Yield Variety,Rainfed,820.8,28.9,78.8,146.8,3.66,306.7,1.589,334.0,4.874,21.5,1553.6,9.12,30355.24,218106.35,-187751.11,32.5,21.2
46,2021,Rabi,Rice,Bihar,Small,1.54,Clay,6.92,Traditional,Sprinkler,162.2,22.1,68.5,119.0,2.55,252.2,2.433,348.0,6.136,9.45,2369.7,5.84,21086.04,76659.52,-55573.48,32.4,35.1
47,2024,Rabi,Groundnut,Odisha,Large,1.67,Sandy,7.3,High-Yield Variety,Rainfed,227.7,23.7,63.7,135.4,1.95,204.2,1.598,391.0,3.263,5.45,2155.0,3.88,11288.86,82152.26,-70863.4,27.2,19.0
48,2023,Zaid,Wheat,Chhattisgarh,Large,1.55,Black,6.88,High-Yield Variety,Canal,61.8,30.3,56.7,87.7,6.2,232.1,1.587,300.0,3.683,5.71,1695.6,6.91,9012.99,75746.95,-66733.96,27.6,19.9
49,2023,Kharif,Rice,Assam,Medium,4.57,Clay,7.69,High-Yield Variety,Drip,738.5,24.4,77.6,124.8,2.94,295.3,2.214,369.0,6.54,29.89,1708.3,5.32,48344.59,219279.11,-170934.52,46.4,39.0
50,2022,Kharif,Wheat,Uttar Pradesh,Small,2.1,Loamy,6.64,Traditional,Sprinkler,,30.3,74.4,162.1,5.48,419.5,1.43,310.0,6.0,12.6,1845.3,8.82,21200.02,104597.17,-83397.15,43.0,29.4
